X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,Densidade,Tabela_Pop,icon_url
-44.3527530978804,-22.9865513955368,"1","3300100",Angra dos Reis,RJ,813.42,254.535,"207044",./0.png
-42.1346655554106,-21.6522919676056,"2","3300159",Aperibé,RJ,94.542,125.881,"11901",./1.png
-42.2929093855005,-22.7553470679123,"3","3300209",Araruama,RJ,638.276,210.4,"134293",./0.png
-43.1215380412345,-22.2353994555892,"4","3300225",Areal,RJ,110.724,114.42,"12669",./1.png
-41.9495507350473,-22.7762087639871,"5","3300233",Armação dos Búzios,RJ,70.977,485.749,"34477",./1.png
-42.160006451978,-22.9250011444017,"6","3300258",Arraial do Cabo,RJ,152.106,201.129,"30593",./1.png
-43.9129587011119,-22.4256619838166,"7","3300308",Barra do Piraí,RJ,584.61,172.361,"100764",./1.png
-44.1883062568537,-22.5057827819774,"8","3300407",Barra Mansa,RJ,547.133,337.821,"184833",./0.png
-43.3775652569216,-22.7287284888299,"9","3300456",Belford Roxo,RJ,78.985,6496.398,"513118",./2.png
-42.3717262919215,-22.1997480943539,"10","3300506",Bom Jardim,RJ,382.43,72.212,"27616",./1.png
-41.6832007568636,-21.1234625345859,"11","3300605",Bom Jesus do Itabapoana,RJ,596.659,62.352,"37203",./1.png
-42.0569734755308,-22.7118165522901,"12","3300704",Cabo Frio,RJ,413.449,557.21,"230378",./0.png
-42.72841080456,-22.5161206258841,"13","3300803",Cachoeiras de Macacu,RJ,954.749,62.114,"59303",./1.png
-41.9146518913572,-21.4969171438963,"14","3300902",Cambuci,RJ,558.281,27.789,"15514",./1.png
-41.6509036679524,-22.1959529650987,"15","3300936",Carapebus,RJ,304.885,54.401,"16586",./1.png
-43.2557398243065,-22.0437710218128,"16","3300951",Comendador Levy Gasparian,RJ,108.639,78.94,"8576",./1.png
-41.4040921610018,-21.7476613040548,"17","3301009",Campos dos Goytacazes,RJ,4032.487,126.762,"511168",./2.png
-42.3338867958526,-21.8683548178362,"18","3301108",Cantagalo,RJ,747.21,26.991,"20168",./1.png
-41.5002965435587,-21.5254535929542,"19","3301157",Cardoso Moreira,RJ,522.596,24.533,"12821",./1.png
-42.5664121577641,-21.8954201301076,"20","3301207",Carmo,RJ,305.749,62.241,"19030",./1.png
-42.1442387567007,-22.4818636159005,"21","3301306",Casimiro de Abreu,RJ,462.918,97.298,"45041",./1.png
-41.8465798109545,-22.1366126558065,"22","3301405",Conceição de Macabu,RJ,338.26,69.172,"23398",./1.png
-42.3422206156589,-22.0588036592343,"23","3301504",Cordeiro,RJ,113.048,194.97,"22041",./1.png
-42.4980443191517,-22.0556088618493,"24","3301603",Duas Barras,RJ,379.619,30.367,"11528",./1.png
-43.2996064671259,-22.6324916923358,"25","3301702",Duque de Caxias,RJ,467.319,1978.571,"924624",./3.png
-43.6360993741372,-22.508285929042,"26","3301801",Engenheiro Paulo de Frontin,RJ,139.381,100.954,"14071",./1.png
-42.9640156234832,-22.5835039637312,"27","3301850",Guapimirim,RJ,358.443,171.263,"61388",./1.png
-42.2180108602909,-22.8274830748411,"28","3301876",Iguaba Grande,RJ,50.977,565.686,"28837",./1.png
-42.8543588334729,-22.7500211961628,"29","3301900",Itaboraí,RJ,429.961,564.105,"242543",./0.png
-43.8123181764236,-22.8346733784719,"30","3302007",Itaguaí,RJ,282.606,477.056,"134819",./0.png
-41.6538310142497,-21.4239085438716,"31","3302056",Italva,RJ,291.193,52.539,"15299",./1.png
-42.0822421119798,-21.7268900021317,"32","3302106",Itaocara,RJ,433.182,53.608,"23222",./1.png
-41.8940248852877,-21.225097540209,"33","3302205",Itaperuna,RJ,1106.694,93.793,"103800",./1.png
-44.5878416292632,-22.4416628220673,"34","3302254",Itatiaia,RJ,241.035,133.026,"32064",./1.png
-43.6057561196837,-22.6619246682394,"35","3302270",Japeri,RJ,81.697,1291.945,"105548",./1.png
-42.1351187304866,-21.2501022350141,"36","3302304",Laje do Muriaé,RJ,253.53,28.896,"7326",./1.png
-41.9766520542455,-22.2958089182685,"37","3302403",Macaé,RJ,1216.989,214.875,"261501",./0.png
-42.2735346040731,-22.0240014142787,"38","3302452",Macuco,RJ,78.364,71.755,"5623",./1.png
-43.1130247468826,-22.6126206140425,"39","3302502",Magé,RJ,390.775,630.626,"246433",./0.png
-44.0380377575537,-22.9541256116542,"40","3302601",Mangaratiba,RJ,367.606,123.012,"45220",./1.png
-42.81697873696,-22.9153224709994,"41","3302700",Maricá,RJ,361.572,454.969,"164504",./0.png
-43.7397619566083,-22.5215277526448,"42","3302809",Mendes,RJ,95.324,195.628,"18648",./1.png
-43.4523151271972,-22.7993134892786,"43","3302858",Mesquita,RJ,41.169,4288.882,"176569",./0.png
-43.4692408987237,-22.5064912731203,"44","3302908",Miguel Pereira,RJ,287.933,88.844,"25581",./1.png
-42.1522000112744,-21.3955831504621,"45","3303005",Miracema,RJ,303.27,89.537,"27154",./1.png
-41.9312632653141,-21.041649890066,"46","3303104",Natividade,RJ,387.073,39.556,"15311",./1.png
-43.4289512461428,-22.8210672725918,"47","3303203",Nilópolis,RJ,19.393,8389.264,"162693",./0.png
-43.0553416514715,-22.9149949819802,"48","3303302",Niterói,RJ,133.757,3852.636,"515317",./2.png
-42.50103440071,-22.3191204699703,"49","3303401",Nova Friburgo,RJ,935.429,204.353,"191158",./0.png
-43.5018375047321,-22.6867608116421,"50","3303500",Nova Iguaçu,RJ,520.581,1581.506,"823302",./3.png
-43.7215183717658,-22.6178978801003,"51","3303609",Paracambi,RJ,190.949,275.901,"52683",./1.png
-43.3043290190947,-22.1819577163472,"52","3303708",Paraíba do Sul,RJ,571.118,77.949,"44518",./1.png
-44.7062420373491,-23.1483135917856,"53","3303807",Paraty,RJ,924.296,47.258,"43680",./1.png
-43.4039748636737,-22.3670248850194,"54","3303856",Paty do Alferes,RJ,314.341,88.624,"27858",./1.png
-43.1568323490079,-22.397956635468,"55","3303906",Petrópolis,RJ,791.144,387.639,"306678",./0.png
-43.9975467528361,-22.5433256500146,"56","3303955",Pinheiral,RJ,82.254,308.362,"25364",./1.png
-43.901713736096,-22.633588110424,"57","3304003",Piraí,RJ,490.255,60.265,"29545",./1.png
-41.9695832379273,-20.9065642683674,"58","3304102",Porciúncula,RJ,291.847,64.966,"18960",./1.png
-44.3260411924993,-22.4411166410166,"59","3304110",Porto Real,RJ,50.892,392.478,"19974",./1.png
-44.2371029050658,-22.3551515119416,"60","3304128",Quatis,RJ,284.826,50.68,"14435",./1.png
-43.5849224388966,-22.7254151206072,"61","3304144",Queimados,RJ,75.927,1993.164,"151335",./0.png
-41.4444049594423,-22.1047990822531,"62","3304151",Quissamã,RJ,719.643,34.915,"25126",./1.png
-44.485257711822,-22.4406413433906,"63","3304201",Resende,RJ,1099.336,120.356,"132312",./0.png
-42.588067023919,-22.7350151791597,"64","3304300",Rio Bonito,RJ,459.458,131.836,"60573",./1.png
-44.0783778696561,-22.7804816740248,"65","3304409",Rio Claro,RJ,846.797,21.971,"18605",./1.png
-43.5386596155526,-22.159894801588,"66","3304508",Rio das Flores,RJ,478.783,19.516,"9344",./1.png
-41.94647779699,-22.4542406420777,"67","3304524",Rio das Ostras,RJ,228.044,680.54,"155193",./0.png
-43.4509903224655,-22.9231926244997,"68","3304557",Rio de Janeiro,RJ,1200.329,5621.638,"6747815",./4.png
-41.9134779642532,-21.9696344733256,"69","3304607",Santa Maria Madalena,RJ,810.963,12.814,"10392",./1.png
-42.1928791285691,-21.5556157602742,"70","3304706",Santo Antônio de Pádua,RJ,603.633,70.563,"42594",./1.png
-41.1351697408772,-21.4176132808636,"71","3304755",São Francisco de Itabapoana,RJ,1118.037,37.754,"42210",./1.png
-41.7869819863365,-21.6599018938749,"72","3304805",São Fidélis,RJ,1034.833,37.407,"38710",./1.png
-42.99700535297,-22.825617993325,"73","3304904",São Gonçalo,RJ,248.16,4399.327,"1091737",./3.png
-41.0808024038897,-21.7821931730598,"74","3305000",São João da Barra,RJ,452.396,80.511,"36423",./1.png
-43.3653043803679,-22.7851483907401,"75","3305109",São João de Meriti,RJ,35.216,13428.726,"472906",./2.png
-41.9492645430014,-21.370818026032,"76","3305133",São José de Ubá,RJ,249.688,28.86,"7206",./1.png
-42.932522614019,-22.1697264777875,"77","3305158",São José do Vale do Rio Preto,RJ,220.178,99.538,"21916",./1.png
-42.126067255341,-22.7883641042997,"78","3305208",São Pedro da Aldeia,RJ,332.488,318.956,"106049",./1.png
-42.1022429850482,-21.883355468557,"79","3305307",São Sebastião do Alto,RJ,397.214,23.632,"9387",./1.png
-42.822816890845,-22.024124318211,"80","3305406",Sapucaia,RJ,540.673,33.752,"18249",./1.png
-42.5188386083643,-22.8781450500498,"81","3305505",Saquarema,RJ,352.13,257.243,"90583",./1.png
-43.6985684015002,-22.7555379582072,"82","3305554",Seropédica,RJ,265.189,313.331,"83092",./1.png
-42.4133546664357,-22.5675780263808,"83","3305604",Silva Jardim,RJ,937.755,23.219,"21774",./1.png
-42.6641969391968,-22.1070783215908,"84","3305703",Sumidouro,RJ,413.407,37.897,"15667",./1.png
-42.7254485007632,-22.7821874327436,"85","3305752",Tanguá,RJ,143.007,242.016,"34610",./1.png
-42.8733767603832,-22.3140712459774,"86","3305802",Teresópolis,RJ,773.338,238.24,"184240",./0.png
-42.1549629087232,-22.1297496462912,"87","3305901",Trajano de Moraes,RJ,591.151,17.999,"10640",./1.png
-43.1121515421072,-22.1247314819488,"88","3306008",Três Rios,RJ,322.843,254.433,"82142",./1.png
-43.857526345232,-22.234224503879,"89","3306107",Valença,RJ,1300.767,59.095,"76869",./1.png
-41.8297096661808,-20.8929265404877,"90","3306156",Varre-Sai,RJ,201.938,54.997,"11106",./1.png
-43.5697298668068,-22.3585581663543,"91","3306206",Vassouras,RJ,536.073,69.175,"37083",./1.png
-44.0889311143801,-22.4909232234078,"92","3306305",Volta Redonda,RJ,182.105,1504.561,"273988",./0.png
